pressure,composition,Q,species,filename
4.021,0.818,4.2,CO2,10.1016j.supflu.2016.01.008.Isotherm12
4.169,0.528,3.943,CO2,10.1016j.supflu.2016.01.008.Isotherm12
4.078,0.203,3.051,CO2,10.1016j.supflu.2016.01.008.Isotherm12
4.033,0.089,1.018,CO2,10.1016j.supflu.2016.01.008.Isotherm12
5.996,0.851,4.206,CO2,10.1016j.supflu.2016.01.008.Isotherm12
6.058,0.493,3.994,CO2,10.1016j.supflu.2016.01.008.Isotherm12
6.035,0.238,2.912,CO2,10.1016j.supflu.2016.01.008.Isotherm12
6.025,0.131,1.648,CO2,10.1016j.supflu.2016.01.008.Isotherm12
4.021,0.182,0.054,CH4,10.1016j.supflu.2016.01.008.Isotherm12
4.169,0.472,0.136,CH4,10.1016j.supflu.2016.01.008.Isotherm12
4.078,0.797,0.549,CH4,10.1016j.supflu.2016.01.008.Isotherm12
4.033,0.911,1.236,CH4,10.1016j.supflu.2016.01.008.Isotherm12
5.996,0.149,0.085,CH4,10.1016j.supflu.2016.01.008.Isotherm12
6.058,0.507,0.291,CH4,10.1016j.supflu.2016.01.008.Isotherm12
6.035,0.762,0.988,CH4,10.1016j.supflu.2016.01.008.Isotherm12
6.025,0.869,1.836,CH4,10.1016j.supflu.2016.01.008.Isotherm12
4.021,0.818,4.773,CO2,10.1016j.supflu.2016.01.008.Isotherm14
4.169,0.528,4.529,CO2,10.1016j.supflu.2016.01.008.Isotherm14
4.078,0.203,3.451,CO2,10.1016j.supflu.2016.01.008.Isotherm14
4.033,0.089,1.377,CO2,10.1016j.supflu.2016.01.008.Isotherm14
5.996,0.851,4.972,CO2,10.1016j.supflu.2016.01.008.Isotherm14
6.058,0.493,4.569,CO2,10.1016j.supflu.2016.01.008.Isotherm14
6.035,0.238,3.311,CO2,10.1016j.supflu.2016.01.008.Isotherm14
6.025,0.131,2.012,CO2,10.1016j.supflu.2016.01.008.Isotherm14
4.021,0.182,0.048,CH4,10.1016j.supflu.2016.01.008.Isotherm14
4.169,0.472,0.045,CH4,10.1016j.supflu.2016.01.008.Isotherm14
4.078,0.797,0.426,CH4,10.1016j.supflu.2016.01.008.Isotherm14
4.033,0.911,1.323,CH4,10.1016j.supflu.2016.01.008.Isotherm14
5.996,0.149,0.05,CH4,10.1016j.supflu.2016.01.008.Isotherm14
6.058,0.507,0.19,CH4,10.1016j.supflu.2016.01.008.Isotherm14
6.035,0.762,0.989,CH4,10.1016j.supflu.2016.01.008.Isotherm14
6.025,0.869,1.857,CH4,10.1016j.supflu.2016.01.008.Isotherm14
